longitude,latitude,year,month,day,hour,PV_power,WS10m
-4.48333,48.400002,2022,01,16,15,108.85,2.83
-4.48333,48.400002,2022,01,16,16,16.62,2.76
-4.48333,48.400002,2022,01,16,17,0.0,2.34
-4.48333,48.400002,2022,01,16,18,0.0,2.14
-4.48333,48.400002,2022,01,16,19,0.0,2.07
-4.48333,48.400002,2022,01,16,20,0.0,1.86
-4.48333,48.400002,2022,01,16,21,0.0,1.79
-4.48333,48.400002,2022,01,16,22,0.0,1.66
-4.48333,48.400002,2022,01,16,23,0.0,1.52
-4.48333,48.400002,2022,01,17,00,0.0,0.97
-4.48333,48.400002,2022,01,17,01,0.0,0.48
-4.48333,48.400002,2022,01,17,02,0.0,0.48
-4.48333,48.400002,2022,01,17,03,0.0,0.62
-4.48333,48.400002,2022,01,17,04,0.0,0.83
-4.48333,48.400002,2022,01,17,05,0.0,1.17
-4.48333,48.400002,2022,01,17,06,0.0,1.59
-4.48333,48.400002,2022,01,17,07,0.0,1.93
-4.48333,48.400002,2022,01,17,08,0.0,2.07
-4.48333,48.400002,2022,01,17,09,58.26,1.93
-4.48333,48.400002,2022,01,17,10,138.48,2.28
-4.48333,48.400002,2022,01,17,11,236.84,2.41
-4.48333,48.400002,2022,01,17,12,211.0,2.28
-4.48333,48.400002,2022,01,17,13,172.63,1.93
-4.48333,48.400002,2022,01,17,14,211.02,1.59
-4.48333,48.400002,2022,01,17,15,123.59,1.31
-4.48333,48.400002,2022,01,17,16,17.81,1.31
-4.48333,48.400002,2022,01,17,17,0.0,1.66
-4.48333,48.400002,2022,01,17,18,0.0,1.93
-4.48333,48.400002,2022,01,17,19,0.0,2.28
-4.48333,48.400002,2022,01,17,20,0.0,2.48
-4.48333,48.400002,2022,01,17,21,0.0,2.62
-4.48333,48.400002,2022,01,17,22,0.0,2.76
-4.48333,48.400002,2022,01,17,23,0.0,2.76
-4.48333,48.400002,2022,01,18,00,0.0,2.83
-4.48333,48.400002,2022,01,18,01,0.0,2.9
-4.48333,48.400002,2022,01,18,02,0.0,2.83
-4.48333,48.400002,2022,01,18,03,0.0,3.1
-4.48333,48.400002,2022,01,18,04,0.0,3.1
-4.48333,48.400002,2022,01,18,05,0.0,3.03
-4.48333,48.400002,2022,01,18,06,0.0,2.9
-4.48333,48.400002,2022,01,18,07,0.0,2.83
-4.48333,48.400002,2022,01,18,08,0.0,2.9
-4.48333,48.400002,2022,01,18,09,5.6,2.9
-4.48333,48.400002,2022,01,18,10,30.98,3.31
-4.48333,48.400002,2022,01,18,11,51.96,2.9
-4.48333,48.400002,2022,01,18,12,43.13,2.34
-4.48333,48.400002,2022,01,18,13,42.08,1.66
-4.48333,48.400002,2022,01,18,14,32.6,1.03
-4.48333,48.400002,2022,01,18,15,36.29,0.48
-4.48333,48.400002,2022,01,18,16,19.74,0.21
-4.48333,48.400002,2022,01,18,17,0.0,1.03
-4.48333,48.400002,2022,01,18,18,0.0,1.1
-4.48333,48.400002,2022,01,18,19,0.0,1.79
-4.48333,48.400002,2022,01,18,20,0.0,1.66
-4.48333,48.400002,2022,01,18,21,0.0,1.03
-4.48333,48.400002,2022,01,18,22,0.0,0.07
-4.48333,48.400002,2022,01,18,23,0.0,0.62
-4.48333,48.400002,2022,01,19,00,0.0,0.76
-4.48333,48.400002,2022,01,19,01,0.0,1.17
-4.48333,48.400002,2022,01,19,02,0.0,1.72
-4.48333,48.400002,2022,01,19,03,0.0,1.93
-4.48333,48.400002,2022,01,19,04,0.0,2.21
-4.48333,48.400002,2022,01,19,05,0.0,2.55
-4.48333,48.400002,2022,01,19,06,0.0,2.83
-4.48333,48.400002,2022,01,19,07,0.0,2.41
-4.48333,48.400002,2022,01,19,08,0.0,2.62
-4.48333,48.400002,2022,01,19,09,32.6,2.76
-4.48333,48.400002,2022,01,19,10,12.24,3.31
-4.48333,48.400002,2022,01,19,11,14.61,4.14
-4.48333,48.400002,2022,01,19,12,19.61,4.55
-4.48333,48.400002,2022,01,19,13,46.9,4.48
-4.48333,48.400002,2022,01,19,14,116.0,4.62
-4.48333,48.400002,2022,01,19,15,83.73,5.38
-4.48333,48.400002,2022,01,19,16,19.67,6.28
-4.48333,48.400002,2022,01,19,17,0.0,5.66
